Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Vegetarian,1371,140,991,88,Oats with Fruits,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2395,187,481,61,Chicken Sausage,Mutton Biryani,Tandoori Fish
Non-Vegetarian,3301,113,1110,37,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3088,160,890,20,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1393,149,758,54,Egg Bhurji,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1946,53,628,73,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2574,181,918,98,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,1519,197,774,48,Paneer Paratha,Dal Rice,Matar Paneer
Vegetarian,1576,150,1032,57,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3479,118,690,91,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3470,161,714,23,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,3497,186,555,82,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Vegetarian,3155,63,669,40,Aloo Paratha,Rajma Chawal,Matar Paneer
Vegetarian,2566,89,684,47,Paneer Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,1621,81,637,81,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,3421,175,462,56,Chicken Sandwich,Prawn Masala,Grilled Chicken
Non-Vegetarian,3054,93,584,20,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2870,81,538,80,Egg Bhurji,Fish Fry with Roti,Grilled Chicken
Vegetarian,3267,69,1031,62,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,2499,147,967,80,Vegetable Poha,Chole Bhature,Khichdi
Vegetarian,2266,108,1129,55,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,3301,93,1066,62,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,2831,111,988,73,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,1391,53,848,50,Oats with Fruits,Chole Bhature,Matar Paneer
Vegetarian,1962,72,448,37,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Vegetarian,2350,110,491,72,Idli Sambhar,Chole Bhature,Dum Aloo
Non-Vegetarian,2179,139,428,86,Egg Bhurji,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,1343,61,1104,80,Oats with Fruits,Chole Bhature,Khichdi
Non-Vegetarian,1254,87,944,38,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,2383,99,912,23,Vegetable Poha,Rajma Chawal,Matar Paneer
Vegetarian,2672,158,408,32,Paneer Paratha,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,1893,118,843,64,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2530,113,846,32,Chicken Sandwich,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2863,90,1187,79,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,2262,127,857,80,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,2292,158,953,89,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2563,181,1199,95,Idli Sambhar,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3396,142,714,29,Vegetable Poha,Rajma Chawal,Khichdi
Vegetarian,1336,136,613,51,Paneer Paratha,Dal Rice,Khichdi
Non-Vegetarian,1654,125,959,85,Chicken Sandwich,Prawn Masala,Tandoori Fish
Vegetarian,2785,104,1070,44,Oats with Fruits,Rajma Chawal,Dum Aloo
Non-Vegetarian,2065,100,477,75,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,3021,189,575,62,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,3416,145,909,92,Vegetable Poha,Rajma Chawal,Dum Aloo
Vegetarian,3398,59,855,33,Aloo Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,3427,60,1186,92,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Vegetarian,2349,109,645,96,Paneer Paratha,Vegetable Biryani,Khichdi
Vegetarian,3394,189,876,41,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1980,140,522,78,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,1614,52,440,88,Aloo Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,1245,102,546,36,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,1307,67,734,27,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,2020,51,984,20,Oats with Fruits,Vegetable Biryani,Matar Paneer
Vegetarian,3424,55,799,23,Paneer Paratha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2153,189,879,29,Paneer Paratha,Rajma Chawal,Dum Aloo
Vegetarian,1873,52,690,27,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,1876,129,656,93,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2504,152,628,71,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1625,196,1115,57,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3284,97,1032,89,Scrambled Eggs,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3274,86,503,39,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1980,102,789,57,Scrambled Eggs,Fish Fry with Roti,Grilled Chicken
Vegetarian,2793,95,960,82,Aloo Paratha,Rajma Chawal,Khichdi
Vegetarian,2430,69,1181,57,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2779,183,1192,100,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1649,200,983,52,Scrambled Eggs,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2731,54,1043,66,Egg Bhurji,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2629,92,647,77,Chicken Sausage,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2747,183,1051,32,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2266,84,931,32,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1727,194,843,49,Scrambled Eggs,Mutton Biryani,Tandoori Fish
Vegetarian,2175,166,695,82,Oats with Fruits,Chole Bhature,Dum Aloo
Non-Vegetarian,2466,83,561,40,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2406,79,909,83,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Vegetarian,2844,75,1172,34,Vegetable Poha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2992,139,469,51,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Vegetarian,3048,186,1158,73,Paneer Paratha,Vegetable Biryani,Matar Paneer
Vegetarian,2949,112,945,90,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2575,128,798,58,Chicken Sausage,Mutton Biryani,Grilled Chicken
Vegetarian,1790,158,1116,52,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,1408,153,499,61,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Vegetarian,3409,68,886,46,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,1559,191,644,67,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,3118,93,1182,46,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1670,88,721,24,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,3217,71,1041,52,Egg Bhurji,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2272,143,912,99,Scrambled Eggs,Prawn Masala,Grilled Chicken
Non-Vegetarian,2183,158,743,66,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1886,56,823,58,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Vegetarian,2059,104,720,64,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,3302,143,495,38,Idli Sambhar,Dal Rice,Khichdi
Vegetarian,3477,105,1138,87,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,2915,130,699,58,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1551,111,557,81,Egg Bhurji,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,2144,95,703,49,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1468,95,829,61,Egg Omelette,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,2654,89,707,20,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,3303,170,463,44,Egg Omelette,Prawn Masala,Tandoori Fish
Non-Vegetarian,2740,68,1029,91,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2700,153,746,61,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2214,134,594,42,Idli Sambhar,Dal Rice,Matar Paneer
Vegetarian,2171,112,838,24,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,2228,82,811,36,Chicken Sausage,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,2704,112,917,53,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2648,85,1007,43,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1515,99,486,47,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2371,161,676,79,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2785,193,951,57,Chicken Sandwich,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2098,132,902,80,Vegetable Poha,Chole Bhature,Khichdi
Non-Vegetarian,3276,77,1055,35,Chicken Sausage,Prawn Masala,Grilled Chicken
Non-Vegetarian,1478,76,1186,41,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1682,109,1083,22,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,3480,192,957,83,Chicken Sandwich,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2762,58,1018,48,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Vegetarian,1501,157,710,27,Paneer Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,3094,105,692,99,Chicken Sandwich,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,2646,60,1179,62,Chicken Sandwich,Mutton Biryani,Butter Chicken
Non-Vegetarian,3182,171,1130,70,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,1950,139,482,36,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2642,87,527,50,Egg Bhurji,Mutton Biryani,Tandoori Fish
Vegetarian,2728,190,925,49,Oats with Fruits,Rajma Chawal,Matar Paneer
Vegetarian,1883,127,958,41,Aloo Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,3400,179,935,21,Scrambled Eggs,Prawn Masala,Tandoori Fish
Vegetarian,1747,110,434,33,Oats with Fruits,Rajma Chawal,Khichdi
Vegetarian,3201,88,1064,96,Aloo Paratha,Chole Bhature,Khichdi
Vegetarian,2100,199,1154,93,Paneer Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,2360,125,584,44,Egg Omelette,Mutton Biryani,Grilled Chicken
Vegetarian,2695,141,1071,31,Oats with Fruits,Rajma Chawal,Khichdi
Non-Vegetarian,1950,52,1017,92,Scrambled Eggs,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2503,136,559,28,Egg Bhurji,Prawn Masala,Butter Chicken
Vegetarian,1452,64,755,88,Paneer Paratha,Dal Rice,Khichdi
Vegetarian,2209,117,487,51,Aloo Paratha,Vegetable Biryani,Khichdi
Vegetarian,2911,187,673,96,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,3025,122,880,88,Oats with Fruits,Dal Rice,Matar Paneer
Non-Vegetarian,1250,176,713,86,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1488,197,523,98,Chicken Sausage,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2443,144,983,84,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,2670,181,425,84,Egg Omelette,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,1710,177,981,44,Chicken Sausage,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2977,167,582,60,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,2884,195,1035,44,Oats with Fruits,Chole Bhature,Mixed Vegetable Curry
Vegetarian,3101,99,990,72,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2183,122,956,96,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3143,101,1101,79,Aloo Paratha,Dal Rice,Dum Aloo
Non-Vegetarian,1505,122,585,56,Egg Bhurji,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1288,131,1053,37,Chicken Sausage,Fish Fry with Roti,Tandoori Fish
Vegetarian,1797,127,573,46,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,2198,159,811,37,Scrambled Eggs,Mutton Biryani,Tandoori Fish
Vegetarian,1642,54,1149,44,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Vegetarian,2599,127,1182,87,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,3318,172,761,44,Oats with Fruits,Dal Rice,Khichdi
Vegetarian,1517,186,463,75,Aloo Paratha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3025,91,990,75,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1537,116,767,66,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2322,112,524,24,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,2512,186,826,70,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,2470,125,549,55,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1257,192,1120,54,Aloo Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2083,188,582,81,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Vegetarian,2906,141,791,74,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,2696,95,447,92,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,1921,148,752,26,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,2982,190,1001,98,Oats with Fruits,Chole Bhature,Dum Aloo
Non-Vegetarian,3390,187,519,76,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1424,152,707,59,Scrambled Eggs,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2376,185,695,74,Egg Bhurji,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1389,142,497,78,Egg Bhurji,Prawn Masala,Butter Chicken
Non-Vegetarian,1452,173,459,42,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,3038,133,743,22,Chicken Sandwich,Prawn Masala,Grilled Chicken
Non-Vegetarian,2856,104,689,44,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Vegetarian,3050,90,967,91,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2832,149,739,32,Paneer Paratha,Rajma Chawal,Dum Aloo
Non-Vegetarian,2384,128,677,60,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1552,78,1195,96,Idli Sambhar,Rajma Chawal,Dum Aloo
Vegetarian,1263,138,885,37,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,1583,166,475,55,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2561,120,1186,51,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2181,146,1133,96,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3147,66,688,62,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Vegetarian,3303,192,1071,71,Paneer Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,2239,192,620,72,Vegetable Poha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,3160,50,526,36,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3032,165,1048,43,Aloo Paratha,Rajma Chawal,Dum Aloo
Vegetarian,3450,97,832,84,Oats with Fruits,Rajma Chawal,Palak Paneer with Roti
Vegetarian,1247,131,991,37,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,3169,199,1045,76,Vegetable Poha,Chole Bhature,Matar Paneer
Non-Vegetarian,2714,162,768,76,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1594,147,595,54,Aloo Paratha,Vegetable Biryani,Khichdi
Vegetarian,2742,137,997,48,Vegetable Poha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,2380,182,1103,85,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1614,92,977,70,Idli Sambhar,Rajma Chawal,Palak Paneer with Roti
Vegetarian,2634,167,551,37,Paneer Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,1399,78,1027,57,Chicken Sandwich,Prawn Masala,Tandoori Fish
Non-Vegetarian,2496,69,519,74,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,1699,181,421,73,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1731,179,788,80,Chicken Sausage,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,2315,165,866,20,Paneer Paratha,Chole Bhature,Khichdi
Non-Vegetarian,2514,139,470,57,Chicken Sausage,Prawn Masala,Grilled Chicken
Vegetarian,1435,134,813,45,Oats with Fruits,Vegetable Biryani,Khichdi
Non-Vegetarian,1561,139,917,30,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Vegetarian,2869,118,528,22,Idli Sambhar,Vegetable Biryani,Dum Aloo
Vegetarian,3036,167,875,82,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,3422,162,628,27,Aloo Paratha,Chole Bhature,Matar Paneer
Non-Vegetarian,2062,138,586,21,Egg Bhurji,Prawn Masala,Butter Chicken
Non-Vegetarian,2025,181,512,29,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,3209,184,404,42,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3084,61,912,23,Egg Bhurji,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1611,57,707,83,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,2186,114,1093,47,Egg Bhurji,Mutton Biryani,Butter Chicken
Vegetarian,3167,121,560,39,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2417,183,530,75,Chicken Sandwich,Fish Fry with Roti,Butter Chicken
Vegetarian,3367,150,1181,89,Idli Sambhar,Rajma Chawal,Dum Aloo
Non-Vegetarian,1315,122,1035,65,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3267,167,463,81,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1480,96,830,88,Egg Bhurji,Prawn Masala,Butter Chicken
Non-Vegetarian,1542,127,674,89,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Vegetarian,2842,135,434,61,Idli Sambhar,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,2797,166,580,77,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1214,183,1115,94,Egg Omelette,Egg Curry with Rice,Grilled Chicken
Vegetarian,2169,179,983,77,Vegetable Poha,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,3292,54,865,52,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2184,191,985,72,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2602,82,661,44,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,3025,55,1103,62,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2787,50,1180,20,Egg Omelette,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2180,73,1190,72,Aloo Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,3355,175,486,98,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,3043,112,973,73,Chicken Sandwich,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,1284,100,1019,43,Oats with Fruits,Rajma Chawal,Khichdi
Vegetarian,2493,85,894,57,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3498,189,772,58,Aloo Paratha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,2039,81,843,41,Vegetable Poha,Vegetable Biryani,Dum Aloo
Vegetarian,1490,100,477,62,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,2926,172,664,76,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Vegetarian,3192,141,447,82,Idli Sambhar,Dal Rice,Khichdi
Non-Vegetarian,3125,90,771,45,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,3118,57,772,65,Chicken Sausage,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1604,64,1116,27,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,1960,193,1160,47,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Vegetarian,1295,123,517,77,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,2894,191,1103,61,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,1204,107,640,43,Vegetable Poha,Chole Bhature,Dum Aloo
Vegetarian,2038,133,648,75,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1370,189,578,85,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2688,149,403,32,Egg Omelette,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,3038,111,1032,68,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Vegetarian,2054,111,730,55,Aloo Paratha,Dal Rice,Dum Aloo
Non-Vegetarian,2105,146,979,69,Chicken Sandwich,Prawn Masala,Grilled Chicken
Non-Vegetarian,3118,73,856,28,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1382,179,1161,37,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2501,142,750,45,Chicken Sausage,Prawn Masala,Butter Chicken
Non-Vegetarian,2066,168,1122,21,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2366,119,446,71,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,3044,57,778,26,Vegetable Poha,Dal Rice,Khichdi
Non-Vegetarian,2216,95,717,87,Chicken Sausage,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1602,144,658,85,Egg Bhurji,Mutton Biryani,Butter Chicken
Vegetarian,1974,186,583,38,Vegetable Poha,Rajma Chawal,Matar Paneer
Vegetarian,3412,143,402,71,Aloo Paratha,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,1346,116,489,91,Oats with Fruits,Dal Rice,Dum Aloo
Vegetarian,2365,91,1023,43,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,1371,188,972,46,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1718,175,1041,52,Idli Sambhar,Rajma Chawal,Palak Paneer with Roti
Vegetarian,3439,127,810,67,Paneer Paratha,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2438,129,692,60,Aloo Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,2870,59,981,94,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Vegetarian,2838,67,503,38,Vegetable Poha,Rajma Chawal,Matar Paneer
Non-Vegetarian,2423,52,641,49,Egg Bhurji,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,1237,168,973,44,Oats with Fruits,Dal Rice,Matar Paneer
Non-Vegetarian,3432,166,854,86,Chicken Sausage,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2713,62,873,95,Chicken Sausage,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2516,139,1035,100,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1236,182,978,88,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,3226,84,468,47,Paneer Paratha,Chole Bhature,Khichdi
Vegetarian,1638,179,712,80,Aloo Paratha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3072,122,773,51,Vegetable Poha,Chole Bhature,Dum Aloo
Non-Vegetarian,2035,70,1106,78,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,2210,83,534,28,Vegetable Poha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2309,111,1028,82,Egg Bhurji,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1253,142,1029,70,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2187,62,868,28,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,2463,162,1002,23,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1256,54,983,94,Chicken Sandwich,Prawn Masala,Grilled Chicken
Vegetarian,2208,156,1086,41,Vegetable Poha,Rajma Chawal,Dum Aloo
Vegetarian,1713,158,419,71,Oats with Fruits,Vegetable Biryani,Dum Aloo
Vegetarian,3040,68,617,48,Aloo Paratha,Vegetable Biryani,Khichdi
Non-Vegetarian,2677,99,782,72,Chicken Sandwich,Mutton Biryani,Butter Chicken
Non-Vegetarian,3118,182,951,99,Chicken Sausage,Egg Curry with Rice,Butter Chicken
Vegetarian,2802,100,1187,60,Oats with Fruits,Chole Bhature,Matar Paneer
Vegetarian,1839,152,438,97,Idli Sambhar,Chole Bhature,Dum Aloo
Non-Vegetarian,2975,151,402,21,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2607,179,488,56,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,1691,197,979,30,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,1459,157,482,67,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1746,83,819,55,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2368,119,748,34,Chicken Sandwich,Mutton Biryani,Grilled Chicken
Vegetarian,3293,62,770,57,Aloo Paratha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1979,72,867,40,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Vegetarian,2381,128,474,30,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1903,129,1000,33,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3230,191,996,20,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1561,79,1174,94,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
